date,energy_system,price_base,price_peak,price_offpeak,price_min,price_max,price_average
2019-07-01,Бурштинський п-в,1627.12375,2039.99833333333,1214.24916666667,939,2040,1776.02878474761
2019-07-01,ОЕС України,1553.47375,1918.31083333333,1188.63666666667,894.99,2020,1594.18775756138
2019-07-02,Бурштинський п-в,1627.0525,2039.935,1214.17,938.88,2039.94,1704.57690605017
2019-07-02,ОЕС України,1598.44375,1989.1525,1207.735,936.98,2020,1630.97438481771
2019-07-03,Бурштинський п-в,1626.69833333333,2039.78,1213.61666666667,938.22,2039.78,1695.71304511866
2019-07-03,ОЕС України,1608.465,2011.07333333333,1205.85666666667,937.74,2048,1653.91566475037
2019-07-04,Бурштинський п-в,1608.22541666667,2021.22166666667,1195.22916666667,918.23,2037,1676.05783879491
2019-07-04,ОЕС України,1618.38166666667,2040.41666666667,1196.34666666667,916.24,2048,1670.64782185232
2019-07-05,Бурштинський п-в,1614.625,2035,1194.25,914,2035,1918.35652173913
2019-07-05,ОЕС України,1512.18375,1858.43166666667,1165.93583333333,916.25,1915,1536.05132782566
2019-07-06,Бурштинський п-в,1610.62208333333,2021.245,1199.99916666667,924.99,2035,1675.26931085172
2019-07-06,ОЕС України,1636.25,2048,1224.5,950,2048,1659.3211702004
2019-07-07,Бурштинський п-в,1609.36583333333,2019.98333333333,1198.74833333333,924.99,2020,1656.99504199698
2019-07-07,ОЕС України,1541.74333333333,1895.62833333333,1187.85833333333,879.97,2025,1572.43583155894
2019-07-08,Бурштинський п-в,1609.36625,2019.985,1198.7475,925,2019.99,1693.36662389113
2019-07-08,ОЕС України,1579.005,1999.025,1158.985,671.62,2048,1620.06181271672
2019-07-09,Бурштинський п-в,1609.35875,2019.98166666667,1198.73583333333,924.97,2019.99,1678.73413224371
2019-07-09,ОЕС України,1620.23208333333,2038.46416666667,1202,920,2048,1667.42725156934
2019-07-10,Бурштинський п-в,1609.36208333333,2019.98166666667,1198.7425,924.99,2019.99,1679.74714919879
2019-07-10,ОЕС України,1610.33333333333,2018.66666666667,1202,920,2048,1650.90084180322
2019-07-11,Бурштинський п-в,1609.36666666667,2019.98333333333,1198.75,925,2020,1703.02397364425
2019-07-11,ОЕС України,1634.49333333333,2043.33333333333,1225.65333333333,925,2048,1707.80453250705
2019-07-12,Бурштинський п-в,1609.36541666667,2019.98583333333,1198.745,924.98,2020,1676.89794998157
2019-07-12,ОЕС України,1573.585,1950.30583333333,1196.86416666667,884.22,2048.23,1610.41850860364
2019-07-13,Бурштинський п-в,1609.3625,2019.9825,1198.7425,924.98,2019.99,1686.52893277671
2019-07-13,ОЕС України,1139.32708333333,1193.16416666667,1085.49,566.7,1914.97,1149.84300864437
2019-07-14,Бурштинський п-в,1609.35791666667,2019.97666666667,1198.73916666667,924.99,2019.98,1666.38793783187
2019-07-14,ОЕС України,1639.81375,2048.23,1231.3975,959.12,2048.23,1688.94816580248
2019-07-15,Бурштинський п-в,1609.3575,2019.97333333333,1198.74166666667,924.99,2019.99,1683.89338055057
2019-07-15,ОЕС України,1636.55416666667,2041.71083333333,1231.3975,959.12,2048.23,1682.60020568157
2019-07-16,Бурштинський п-в,1609.21666666667,2019.75,1198.68333333333,925,2019.9,1682.40213624965
2019-07-16,ОЕС України,1638.37208333333,2045.34666666667,1231.3975,959.12,2048.23,1680.17271505527
2019-07-17,Бурштинський п-в,1603.47916666667,2012.21,1194.74833333333,920,2013.86,1670.07590714092
2019-07-17,ОЕС України,1627.52458333333,2026.41416666667,1228.635,959.12,2048.23,1680.75415183681
2019-07-18,Бурштинський п-в,1604.45375,2013.03166666667,1195.87583333333,920.16,2017.4,1674.94522190991
2019-07-18,ОЕС України,1607.44958333333,1995.97416666667,1218.925,959.12,2048.23,1650.74930819532
2019-07-19,Бурштинський п-в,1609.27916666667,2019.825,1198.73333333333,925,2020,1672.96963170203
2019-07-19,ОЕС України,1591.06416666667,1963.955,1218.17333333333,959.12,2048.23,1632.06518809295
2019-07-20,Бурштинський п-в,1603.17625,2011.68,1194.6725,920.17,2013.92,1666.76705467897
2019-07-20,ОЕС України,1617.49958333333,2003.60166666667,1231.3975,959.12,2048.23,1663.90625843656
2019-07-21,Бурштинський п-в,1603.79625,2013.1875,1194.405,919.84,2014.59,1636.50769963083
2019-07-21,ОЕС України,1612.44833333333,1993.49916666667,1231.3975,959.12,2048.23,1658.92581678345
2019-07-22,Бурштинський п-в,1603.22666666667,2012.18083333333,1194.2725,919.7,2013.25,1674.20333116016
2019-07-22,ОЕС України,1628.08541666667,2033.10416666667,1223.06666666667,959.12,2048.23,1681.05001220912
2019-07-23,Бурштинський п-в,1604.17666666667,2013.4125,1194.94083333333,919.62,2020,1678.92681908919
2019-07-23,ОЕС України,1617.72208333333,2018.36416666667,1217.08,959,2048.23,1657.23392676882
2019-07-24,Бурштинський п-в,1606.30416666667,2015.77166666667,1196.83666666667,921.24,2018.85,1684.24880305424
2019-07-24,ОЕС України,1621.19791666667,2020.04916666667,1222.34666666667,959.12,2048.23,1663.98157121999
2019-07-25,Бурштинський п-в,1618.80666666667,2015.54,1222.07333333333,954.46,2017.36,1683.4254508491
2019-07-25,ОЕС України,1601.28541666667,1989.35583333333,1213.215,959.12,2015.04,1647.82911153631
2019-07-26,Бурштинський п-в,1618.02166666667,2014.77916666667,1221.26416666667,954.45,2017.54,1679.61952221308
2019-07-26,ОЕС України,1597.77541666667,1982.89583333333,1212.655,959,2015.04,1636.25783223532
2019-07-27,Бурштинський п-в,1618.41291666667,2014.74916666667,1222.07666666667,956.7,2016.56,1670.94501783368
2019-07-27,ОЕС України,1594.95083333333,1965.56166666667,1224.34,959.12,2020,1632.65240240975
2019-07-28,Бурштинський п-в,1614.63291666667,2007.5,1221.76583333333,956.61,2015.26,1654.16518958519
2019-07-28,ОЕС України,1580.12916666667,1928.88,1231.37833333333,959.12,2048.23,1618.25179380581
2019-07-29,Бурштинський п-в,1638.41916666667,2048,1228.83833333333,959.1,2048,1944.19104635496
2019-07-29,ОЕС України,1630.56833333333,2040.425,1220.71166666667,959.12,2048.23,1693.05483969815
2019-07-30,Бурштинський п-в,1639.6625,2048,1231.325,959.1,2048,1923.15063392782
2019-07-30,ОЕС України,1632.98625,2045.51916666667,1220.45333333333,959.12,2048.23,1702.75698136002
2019-07-31,Бурштинський п-в,1639.625,2048,1231.25,959,2048,1865.54244060812
2019-07-31,ОЕС України,1634.26583333333,2048.23,1220.30166666667,959.12,2048.23,1701.92386724777
