"","date","load_type","country","price","price_difference"
"1","2019-08-27","база","Україна",59.08,NA
"2","2019-08-27","база","Польща",283.29,379.5
"3","2019-08-27","база","Словаччина",49.01,-17.04
"4","2019-08-27","база","Угорщина",85.93,45.45
"5","2019-08-27","база","Румунія",85.93,45.45
"6","2019-08-27","пік","Україна",73.8,NA
"7","2019-08-27","пік","Польща",313.52,324.82
"8","2019-08-27","пік","Словаччина",54.8,-25.75
"9","2019-08-27","пік","Угорщина",99.11,34.3
"10","2019-08-27","пік","Румунія",99.11,34.3
"11","2019-08-27","позапік","Україна",44.37,NA
"12","2019-08-27","позапік","Польща",253.06,470.34
"13","2019-08-27","позапік","Словаччина",43.23,-2.57
"14","2019-08-27","позапік","Угорщина",72.74,63.94
"15","2019-08-27","позапік","Румунія",72.74,63.94
"16","2019-08-28","база","Україна",59.02,NA
"17","2019-08-28","база","Польща",282.2,378.14
"18","2019-08-28","база","Словаччина",49.94,-15.38
"19","2019-08-28","база","Угорщина",97.04,64.42
"20","2019-08-28","база","Румунія",97.19,64.67
"21","2019-08-28","пік","Україна",73.66,NA
"22","2019-08-28","пік","Польща",312.03,323.61
"23","2019-08-28","пік","Словаччина",55.22,-25.03
"24","2019-08-28","пік","Угорщина",116.63,58.34
"25","2019-08-28","пік","Румунія",116.63,58.34
"26","2019-08-28","позапік","Україна",44.38,NA
"27","2019-08-28","позапік","Польща",252.38,468.68
"28","2019-08-28","позапік","Словаччина",44.67,0.65
"29","2019-08-28","позапік","Угорщина",77.45,74.52
"30","2019-08-28","позапік","Румунія",77.75,75.19
"31","2019-08-29","база","Україна",58.09,NA
"32","2019-08-29","база","Польща",293.48,405.22
"33","2019-08-29","база","Словаччина",48.89,-15.84
"34","2019-08-29","база","Угорщина",83.64,43.98
"35","2019-08-29","база","Румунія",97.35,67.58
"36","2019-08-29","пік","Україна",72.11,NA
"37","2019-08-29","пік","Польща",317.5,340.3
"38","2019-08-29","пік","Словаччина",53.76,-25.45
"39","2019-08-29","пік","Угорщина",109.86,52.35
"40","2019-08-29","пік","Румунія",127.67,77.05
"41","2019-08-29","позапік","Україна",44.06,NA
"42","2019-08-29","позапік","Польща",269.45,511.55
"43","2019-08-29","позапік","Словаччина",44.02,-0.09
"44","2019-08-29","позапік","Угорщина",57.42,30.32
"45","2019-08-29","позапік","Румунія",67.04,52.16
"46","2019-08-30","база","Україна",56.29,NA
