date,load_type,country,price,price_difference
2019-08-27,база,Україна,59.08,NA
2019-08-27,база,Польща,283.29,379.5
2019-08-27,база,Словаччина,49.01,-17.04
2019-08-27,база,Угорщина,85.93,45.45
2019-08-27,база,Румунія,85.93,45.45
2019-08-27,пік,Україна,73.8,NA
2019-08-27,пік,Польща,313.52,324.82
2019-08-27,пік,Словаччина,54.8,-25.75
2019-08-27,пік,Угорщина,99.11,34.3
2019-08-27,пік,Румунія,99.11,34.3
2019-08-27,позапік,Україна,44.37,NA
2019-08-27,позапік,Польща,253.06,470.34
2019-08-27,позапік,Словаччина,43.23,-2.57
2019-08-27,позапік,Угорщина,72.74,63.94
2019-08-27,позапік,Румунія,72.74,63.94
2019-08-28,база,Україна,59.02,NA
2019-08-28,база,Польща,282.2,378.14
2019-08-28,база,Словаччина,49.94,-15.38
2019-08-28,база,Угорщина,97.04,64.42
2019-08-28,база,Румунія,97.19,64.67
2019-08-28,пік,Україна,73.66,NA
2019-08-28,пік,Польща,312.03,323.61
2019-08-28,пік,Словаччина,55.22,-25.03
2019-08-28,пік,Угорщина,116.63,58.34
2019-08-28,пік,Румунія,116.63,58.34
2019-08-28,позапік,Україна,44.38,NA
2019-08-28,позапік,Польща,252.38,468.68
2019-08-28,позапік,Словаччина,44.67,0.65
2019-08-28,позапік,Угорщина,77.45,74.52
2019-08-28,позапік,Румунія,77.75,75.19
2019-08-29,база,Україна,58.09,NA
2019-08-29,база,Польща,293.48,405.22
2019-08-29,база,Словаччина,48.89,-15.84
2019-08-29,база,Угорщина,83.64,43.98
2019-08-29,база,Румунія,97.35,67.58
2019-08-29,пік,Україна,72.11,NA
2019-08-29,пік,Польща,317.5,340.3
2019-08-29,пік,Словаччина,53.76,-25.45
2019-08-29,пік,Угорщина,109.86,52.35
2019-08-29,пік,Румунія,127.67,77.05
2019-08-29,позапік,Україна,44.06,NA
2019-08-29,позапік,Польща,269.45,511.55
2019-08-29,позапік,Словаччина,44.02,-0.09
2019-08-29,позапік,Угорщина,57.42,30.32
2019-08-29,позапік,Румунія,67.04,52.16
2019-08-30,база,Україна,56.29,NA
2019-08-30,база,Польща,301.99,436.49
2019-08-30,база,Словаччина,49.22,-12.56
2019-08-30,база,Угорщина,77.89,38.37
2019-08-30,база,Румунія,78.74,39.88
2019-08-30,пік,Україна,71.25,NA
2019-08-30,пік,Польща,325,356.14
2019-08-30,пік,Словаччина,57.93,-18.69
2019-08-30,пік,Угорщина,90.44,26.93
2019-08-30,пік,Румунія,90.44,26.93
2019-08-30,позапік,Україна,41.33,NA
2019-08-30,позапік,Польща,278.98,575.01
2019-08-30,позапік,Словаччина,40.51,-1.98
2019-08-30,позапік,Угорщина,65.35,58.12
2019-08-30,позапік,Румунія,67.04,62.21
2019-08-31,база,Україна,57.83,NA
2019-08-31,база,Польща,253.15,337.75
2019-08-31,база,Словаччина,34.15,-40.95
2019-08-31,база,Угорщина,65.85,13.87
2019-08-31,база,Румунія,65.85,13.87
2019-08-31,пік,Україна,71.7,NA
2019-08-31,пік,Польща,270.87,277.78
2019-08-31,пік,Словаччина,33.85,-52.79
2019-08-31,пік,Угорщина,69.39,-3.22
2019-08-31,пік,Румунія,69.39,-3.22
2019-08-31,позапік,Україна,43.95,NA
2019-08-31,позапік,Польща,235.43,435.68
2019-08-31,позапік,Словаччина,34.45,-21.62
2019-08-31,позапік,Угорщина,62.31,41.77
2019-08-31,позапік,Румунія,62.31,41.77
2019-09-01,база,Україна,52.76,NA
2019-09-01,база,Польща,212.79,303.32
2019-09-01,база,Словаччина,31.15,-40.96
2019-09-01,база,Угорщина,55.67,5.52
2019-09-01,база,Румунія,53.76,1.9
2019-09-01,пік,Україна,65.36,NA
2019-09-01,пік,Польща,219.45,235.76
2019-09-01,пік,Словаччина,30.04,-54.04
2019-09-01,пік,Угорщина,55.8,-14.63
2019-09-01,пік,Румунія,51.99,-20.46
2019-09-01,позапік,Україна,40.16,NA
2019-09-01,позапік,Польща,206.13,413.27
2019-09-01,позапік,Словаччина,32.26,-19.67
2019-09-01,позапік,Угорщина,55.54,38.3
2019-09-01,позапік,Румунія,55.54,38.3
2019-09-02,база,Україна,58.43,NA
2019-09-02,база,Польща,263.71,351.33
2019-09-02,база,Словаччина,51.3,-12.2
2019-09-02,база,Угорщина,106.94,83.02
2019-09-02,база,Румунія,106.94,83.02
